kingdom_number,kvk_number,opponent_kingdom,prep_result,battle_result,overall_result,kvk_date,order_index
57,3,45,W,L,Preparation,"Jul 19, 2025",3
57,4,26,W,W,Win,"Aug 16, 2025",4
57,5,24,L,W,Battle,"Sep 13, 2025",5
57,6,45,L,L,Loss,"Oct 11, 2025",6
57,7,66,L,W,Battle,"Nov 8, 2025",7
57,8,90,L,L,Loss,"Dec 6, 2025",8
57,9,44,W,W,Win,"Jan 3, 2026",9
58,2,65,W,W,Win,"Jun 21, 2025",2
58,3,47,W,W,Win,"Jul 19, 2025",3
58,4,78,L,W,Battle,"Aug 16, 2025",4
58,5,17,W,L,Preparation,"Sep 13, 2025",5
58,6,18,W,L,Preparation,"Oct 11, 2025",6
58,7,36,L,L,Loss,"Nov 8, 2025",7
58,8,73,L,L,Loss,"Dec 6, 2025",8
58,9,55,L,W,Battle,"Jan 3, 2026",9
59,2,39,L,W,Battle,"Jun 21, 2025",2
59,3,20,W,W,Win,"Jul 19, 2025",3
59,4,45,W,L,Preparation,"Aug 16, 2025",4
59,5,43,W,L,Preparation,"Sep 13, 2025",5
59,6,44,L,L,Loss,"Oct 11, 2025",6
59,7,67,L,L,Loss,"Nov 8, 2025",7
59,8,41,W,W,Win,"Dec 6, 2025",8
59,9,40,L,W,Battle,"Jan 3, 2026",9
60,2,46,W,L,Preparation,"Jun 21, 2025",2
60,3,65,W,W,Win,"Jul 19, 2025",3
60,4,90,L,L,Loss,"Aug 16, 2025",4
60,5,20,W,L,Preparation,"Sep 13, 2025",5
60,6,53,W,L,Preparation,"Oct 11, 2025",6
60,7,64,W,W,Win,"Nov 8, 2025",7
60,8,34,W,W,Win,"Dec 6, 2025",8
60,9,39,L,W,Battle,"Jan 3, 2026",9
61,2,80,W,L,Preparation,"Jun 21, 2025",2
61,3,51,W,W,Win,"Jul 19, 2025",3
61,4,139,W,W,Win,"Aug 16, 2025",4
61,5,27,W,W,Win,"Sep 13, 2025",5
61,6,62,W,W,Win,"Oct 11, 2025",6
61,7,18,W,W,Win,"Nov 8, 2025",7
61,8,50,W,W,Win,"Dec 6, 2025",8
61,9,36,W,L,Preparation,"Jan 3, 2026",9
62,2,38,W,L,Preparation,"Jun 21, 2025",2
62,3,48,W,W,Win,"Jul 19, 2025",3
62,4,79,L,W,Battle,"Aug 16, 2025",4
62,5,35,W,W,Win,"Sep 13, 2025",5
62,6,61,L,L,Loss,"Oct 11, 2025",6
62,7,44,W,L,Preparation,"Nov 8, 2025",7
62,8,11,W,W,Win,"Dec 6, 2025",8
62,9,45,W,L,Preparation,"Jan 3, 2026",9
63,2,69,L,L,Loss,"Jun 21, 2025",2
63,3,52,W,W,Win,"Jul 19, 2025",3
63,4,159,L,L,Loss,"Aug 16, 2025",4
63,6,52,W,L,Preparation,"Oct 11, 2025",6
63,7,31,W,W,Win,"Nov 8, 2025",7
63,8,64,L,L,Loss,"Dec 6, 2025",8
63,9,51,W,W,Win,"Jan 3, 2026",9
64,2,83,L,W,Battle,"Jun 21, 2025",2
64,3,49,L,L,Loss,"Jul 19, 2025",3
64,4,164,L,W,Battle,"Aug 16, 2025",4
