,Transfer #1,"Sep 15, 2025",Transfer #2,"Nov 10, 2025",Transfer #3,"Jan 5, 2026",Transfer #4,"Jan 5, 2026"
Kingdom,Group,Status,Group,Status,Group,Status,Group,Leading
345,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
346,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
347,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
348,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
349,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
350,N/A,N/A,4,Leading,3,Ordinary,3,Ordinary
351,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
352,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
353,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
354,N/A,N/A,4,Leading,3,Ordinary,3,Ordinary
355,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
356,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
357,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
358,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
359,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
360,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
361,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
362,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
363,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
364,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
365,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
366,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
367,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
368,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
369,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
370,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
371,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
372,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
373,N/A,N/A,4,Leading,3,Ordinary,3,Ordinary
374,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
375,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
376,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
377,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
378,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
379,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
380,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
381,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
382,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
383,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
384,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
385,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
386,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
387,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
388,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
389,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
390,N/A,N/A,4,Leading,3,Ordinary,3,Ordinary
391,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
392,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
393,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
394,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
395,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
396,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
397,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
398,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
399,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
400,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
401,N/A,N/A,4,Leading,3,Ordinary,3,Leading
